구분코드,번호,연결된 점,,,,x좌표,y좌표
C,717,712,713,,,97,115
C,718,712,719,,,83,120
C,719,702,718,,,91,103
C,720,706,712,,,95,95
C,721,718,724,,,58,132
C,722,702,718,,,68,112
C,723,702,718,,,80,91
C,724,702,718,,,88,74
C,725,702,703,,,91,72
C,726,702,703,,,106,72
C,727,703,704,,,126,72
C,728,703,704,,,147,72
C,729,704,705,,,172,72
C,730,707,708,,,142,90
C,731,709,710,,,170,90
C,732,709,710,,,180,90
C,733,701,717,,,212,111
C,734,701,717,,,216,102
C,735,701,717,,,222,93
C,736,701,717,,,225,87
C,737,701,717,,,228,80
C,738,701,717,,,232,75
C,739,701,717,,,235,68
C,740,701,717,,,235,68
C,741,701,717,,,232,75
C,742,701,717,,,228,80
C,743,701,717,,,225,87
C,744,701,717,,,222,93
C,745,701,717,,,218,99
C,746,701,717,,,215,105
C,747,701,717,,,212,111
C,748,717,723,,,208,118
C,749,717,723,,,206,123
C,750,717,723,,,203,128
C,751,717,723,,,198,132
C,801,818,819,,,175,132
C,802,817,818,,,153,132
C,803,817,818,,,133,132
C,804,817,818,,,110,132
C,805,817,818,,,97,132
C,806,816,817,,,88,132
C,807,816,817,,,83,132
C,808,815,816,,,77,132
C,809,810,811,,,137,115
C,810,810,811,,,124,115
C,811,810,811,,,118,115
C,812,810,811,,,110,115
C,813,810,811,,,103,115
C,814,810,811,,,96,115
C,815,810,816,,,83,119
C,816,805,810,,,92,104
C,817,805,810,,,95,95
C,818,815,821,,,58,132
C,819,802,815,,,69,111
C,820,802,815,,,78,93
C,821,802,815,,,86,79
C,822,802,803,,,91,72
C,823,802,803,,,106,72
C,824,803,804,,,125,72
C,825,803,804,,,147,72
C,826,803,804,,,170,72
C,827,806,807,,,142,90
C,828,806,807,,,165,90
C,829,809,813,,,201,107
C,830,809,813,,,106,96
C,831,801,814,,,221,93
C,832,801,814,,,225,86
C,833,801,814,,,228,80
C,834,801,814,,,231,74
C,835,801,814,,,235,68
C,836,801,814,,,235,68
C,837,801,814,,,231,74
C,838,801,814,,,228,80
C,839,801,814,,,225,86
C,840,801,814,,,221,93
C,841,801,814,,,219,99
C,842,801,814,,,216,105
C,843,801,814,,,212,111
C,844,814,820,,,209,118
C,845,814,820,,,206,124
C,846,814,820,,,203,128
C,847,814,820,,,198,132
C,901,918,919,,,175,132
C,902,917,918,,,154,132
C,903,917,918,,,133,132
C,904,917,918,,,116,132
C,905,917,918,,,97,132
C,906,910,917,918,,80,132
C,907,910,911,,,137,115
C,908,910,911,,,118,115
C,909,910,911,,,104,115
C,910,910,911,,,97,115
C,911,910,917,,,80,126
C,912,910,917,,,84,118
C,913,905,910,,,87,112
C,914,905,910,,,91,106
C,915,905,910,,,93,100
C,916,905,910,,,95,95
C,917,902,916,,,73,105
C,918,902,916,,,76,98
C,919,902,916,,,80,93
C,920,916,921,,,57,134
C,921,902,916,,,68,112
C,922,902,916,,,78,93
C,923,902,916,,,87,78
C,924,902,903,,,91,72
C,925,902,903,,,105,72
C,926,903,904,,,125,72
C,927,903,904,,,146,72
C,928,903,904,,,166,72
C,929,903,904,,,180,72
C,930,906,907,,,142,90
C,931,907,908,,,156,90
C,932,907,908,,,172,90
C,933,901,915,,,212,111
C,934,901,915,,,216,102
C,935,901,915,,,222,93
C,936,901,915,,,225,87
C,937,901,915,,,229,80
C,938,901,915,,,232,75
C,939,901,915,,,235,68
C,940,901,915,,,235,68
C,941,901,915,,,232,75
C,942,901,915,,,229,80
C,943,901,915,,,225,87
C,944,901,915,,,222,93
C,945,901,915,,,219,99
C,946,901,915,,,215,105
C,947,901,915,,,212,111
C,948,915,920,,,209,118
C,949,915,920,,,206,124
C,950,915,920,,,203,128
C,951,915,920,,,199,132
C,1001,1001,1002,,,209,118
C,1002,1001,1002,,,212,111
C,1003,1001,1002,,,215,105
C,1004,1001,1002,,,219,99
C,1005,1001,1002,,,222,93
C,1006,1001,1002,,,225,87
C,1007,1001,1002,,,229,80
C,1008,1001,1002,,,232,75
C,1009,1001,1002,,,235,68
C,1010,1001,1002,,,238,63
C,1011,1001,1002,,,238,63
C,1012,1001,1002,,,235,68
C,1013,1001,1002,,,232,75
C,1014,1001,1002,,,229,80
C,1015,1001,1002,,,225,87
C,1016,1001,1002,,,222,93
C,1017,1001,1002,,,219,99
C,1018,1001,1002,,,215,105
C,1019,1001,1002,,,212,111
C,1020,1001,1002,,,209,118
C,1021,1001,1002,,,206,123
C,1022,1002,1012,,,203,127
C,1023,1002,1012,,,197,132
C,1024,1002,1012,,,191,135
C,1025,1006,1007,1011,1012,186,137
C,1026,1006,1007,1011,1012,180,138
C,1027,1006,1007,1011,1012,173,138
C,1028,1006,1011,,,167,138
C,1029,1010,1011,,,160,138
C,1030,1010,1011,,,153,138
C,1031,1005,1009,1010,,145,138
C,1032,1009,1010,,,139,138
C,1033,1009,1010,,,132,138
C,1034,1009,1010,,,125,138
C,1035,1009,1010,,,118,138
C,1036,1009,1010,,,111,138
C,1037,1009,1010,,,104,138
C,1038,1008,1009,,,96,138
C,1039,1008,1009,,,91,138
C,1040,1010,1011,,,157,138
C,1041,1009,1010,,,140,138
C,1042,1009,1010,,,128,138
C,1043,1008,1009,,,96,138
C,1044,1009,1010,,,113,138
C,1045,1008,,,,84,145
C,1046,1004,1005,,,146,126
C,1047,1004,1005,,,139,126
C,1048,1004,1005,,,132,126
C,1049,1004,1005,,,125,126
C,1050,1004,1005,,,117,126
C,1051,1004,1005,,,110,126
C,1052,1004,1005,,,104,126
C,1053,1003,1004,,,97,126
C,1101,1101,1102,,,209,118
C,1102,1101,1102,,,212,111
C,1103,1101,1102,,,215,105
C,1104,1101,1102,,,219,99
C,1105,1101,1102,,,222,93
C,1106,1101,1102,,,225,87
C,1107,1101,1102,,,229,80
C,1108,1101,1102,,,232,75
C,1109,1101,1102,,,235,68
C,1110,1101,1102,,,238,63
C,1111,1101,1102,,,238,63
C,1112,1101,1102,,,235,68
C,1113,1101,1102,,,232,75
C,1114,1101,1102,,,229,80
C,1115,1101,1102,,,225,87
C,1116,1101,1102,,,222,93
C,1117,1101,1102,,,219,99
C,1118,1101,1102,,,215,105
C,1119,1101,1102,,,212,111
C,1120,1101,1102,,,209,118
C,1121,1102,1110,,,206,123
C,1122,1102,1110,,,203,128
C,1123,1102,1110,,,198,132
C,1124,1106,1109,1110,,192,136
C,1125,1106,1109,1110,,186,138
C,1126,1105,1106,1109,,180,138
C,1127,1105,1106,1109,,174,138
C,1128,1108,1109,,,166,138
C,1129,1108,1109,,,159,138
C,1130,1108,1109,,,153,138
C,1131,1107,1108,,,145,138
C,1132,1107,1108,,,139,138
C,1133,1107,1108,,,131,138
C,1134,1107,1108,,,125,138
C,1135,1107,1108,,,119,138
C,1136,1107,,,,112,138
C,1137,1108,1109,,,156,138
C,1138,1107,1108,,,140,138
C,1139,1107,1108,,,127,138
C,1140,1107,,,,113,138
C,1141,1103,1104,,,146,126
C,1142,1103,1104,,,138,126
C,1143,1103,1104,,,132,126
C,1144,1103,1104,,,125,126
C,1145,1103,1104,,,119,126
C,1201,1201,1202,,,209,118
C,1202,1201,1202,,,212,111
C,1203,1201,1202,,,215,105
C,1204,1201,1202,,,219,99
C,1205,1201,1202,,,222,93
C,1206,1201,1202,,,225,87
C,1207,1201,1202,,,229,80
C,1208,1201,1202,,,232,75
C,1209,1201,1202,,,235,68
C,1210,1201,1202,,,238,63
C,1211,1201,1202,,,238,63
C,1212,1201,1202,,,235,68
C,1213,1201,1202,,,232,75
C,1214,1201,1202,,,229,80
C,1215,1201,1202,,,225,87
C,1216,1201,1202,,,222,93
C,1217,1201,1202,,,219,99
C,1218,1201,1202,,,215,105
C,1219,1201,1202,,,212,111
C,1220,1201,1202,,,209,118
C,1221,1202,1209,,,206,123
C,1222,1202,1209,,,203,128
C,1223,1202,1209,,,198,132
C,1224,1205,1208,1209,,192,135
C,1225,1205,1208,1209,,185,138
C,1226,1205,1208,1209,,180,138
C,1227,1205,1208,1209,,174,138
C,1228,1207,1208,,,167,138
C,1229,1207,1208,,,159,138
C,1230,1207,1208,,,152,138
C,1231,1206,1207,,,145,138
C,1232,1206,1207,,,139,138
C,1233,1206,,,,137,138
C,1234,1207,1208,,,156,138
C,1235,1206,1207,,,142,138
C,1236,1203,,,,144,126
